🇨🇳川哥央卫,#genre#
CCTV-1,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-1-AVS-4K264.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-2,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-2-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-3,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-3-AVS-4K264.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-4,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-4-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-5,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-5-AVS-4K264.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-6,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-6-AVS-4K264.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-7,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-7-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-8,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-8-AVS-4K264.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-9,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-9-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210

CCTV-10,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-10-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-11,http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~0RcQQbNseiHvFO8XWf466A~tP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY,END$北京v6
CCTV-11,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=H265-5500k-1080P-cctv11.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-12,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-12-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-13,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-13-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-14,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-14-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-15,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=H265-5500k-1080P-cctv15.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-16,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-16-4K.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-16,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-16-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-17,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-17-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-5+,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-5PLUS-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-4K,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-4K-HD.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV-8K,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-20M-2160P-tchunxiang4k.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210

CCTV世界地理,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_SHIJIEDL-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV风云剧场,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_FENGYUNJC-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV风云足球,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_FENGSHANGZQ-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV风云音乐,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_FENGYUNYY-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV兵器科技,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_BINGQIKJ-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV央视台球,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_TAIQIU-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV高尔夫网球,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-GOLF-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV女性时尚,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_NVXINGSS-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV电视指南,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_DIANSHIZN-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV第一剧场,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_DIYIJC-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV怀旧剧场,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_HUAIJIUJC-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CCTV央视文化精品,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CCTV-WENHUA-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
CETV早期教育,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_CETV-ZQJY-CQ.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
凤凰卫视,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-10000k-1080P-fhchinese5s.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
凤凰资讯,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-10000k-1080P-fhzixun5s.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
凤凰卫视香港,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-10000k-1080P-fhhongkong5s.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
北京纪实科教,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-8000k-1080P-beijingjishi.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
纯享4K,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-20M-2160P-tchunxiang4k.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
睛彩篮球,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=miguaoyun01-AVS-4K01.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
睛彩篮球,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-8000k-1080P-miguaoyun1.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
睛彩竞技,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=miguaoyun1-AVS.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
睛彩竞技,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-8000k-1080P-miguaoyun2.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
睛彩青少,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-8000k-1080P-quanminrl.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
黑莓电影,http://PLTV/ku9/js/dbdtv.js?p=cntv&id=HD-8000k-1080P-Supermovie.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
江苏卫视,http://PLTV/ku9/js/dbdtv.js?p=gitv&id=G_JIANGSU-HD-265-8M.m3u8&mac=90:49:92:12:18:13&tel=139&uid=210
